Registro_ID,Provincia_ID,Año,Trimestre,Provincias,Accesos telefonía fija cada 100 hab,Accesos telefonía fija cada 100 hogares,TiempoTrim_ID,Periodo,PenHab_QoQ_%,PenHab_YoY_%,PenHog_QoQ_%,PenHog_YoY_%
654,19,2018,2,San Luis,8.95,31.28,20182,2018Q2,-0.33407572383075124,-18.857660924750686,-0.31867431485022024,-18.816506618219563
630,19,2018,3,San Luis,8.92,31.17,20183,2018Q3,-0.3351955307262511,-19.784172661870503,-0.35166240409206795,-19.747682801235843
606,19,2018,4,San Luis,10.4,36.34,20184,2018Q4,16.59192825112108,-6.137184115523464,16.586461341033054,-6.146694214876025
582,19,2019,1,San Luis,8.58,29.99,20191,2019Q1,-17.500000000000004,-4.454342984409799,-17.473858007705022,-4.429572976418106
558,19,2019,2,San Luis,6.68,23.33,20192,2019Q2,-22.14452214452215,-25.363128491620113,-22.207402467489167,-25.41560102301791
534,19,2019,3,San Luis,7.81,27.28,20193,2019Q3,16.916167664670656,-12.443946188340815,16.930990141448788,-12.4799486685916
510,19,2019,4,San Luis,7.49,26.17,20194,2019Q4,-4.097311139564653,-27.98076923076923,-4.068914956011726,-27.985690698954325
486,19,2020,1,San Luis,7.18,25.08,20201,2020Q1,-4.1388518024032095,-16.317016317016318,-4.165074512800926,-16.372124041347114
462,19,2020,2,San Luis,6.96,24.34,20202,2020Q2,-3.064066852367686,4.191616766467066,-2.9505582137161035,4.32918988426918
438,19,2020,3,San Luis,6.76,23.62,20203,2020Q3,-2.8735632183908066,-13.444302176696542,-2.958093672966311,-13.416422287390029
414,19,2020,4,San Luis,6.74,23.55,20204,2020Q4,-0.2958579881656709,-10.01335113484646,-0.2963590177815445,-10.011463507833396
390,19,2021,1,San Luis,6.8,23.77,20211,2021Q1,0.8902077151335286,-5.292479108635096,0.9341825902335454,-5.223285486443374
366,19,2021,2,San Luis,6.78,23.69,20212,2021Q2,-0.2941176470588225,-2.5862068965517238,-0.33655868742110684,-2.6705012325390243
342,19,2021,3,San Luis,6.76,23.62,20213,2021Q3,-0.2949852507374673,0.0,-0.2954833262980183,0.0
318,19,2021,4,San Luis,6.46,22.58,20214,2021Q4,-4.437869822485208,-4.154302670623144,-4.403048264182907,-4.118895966029735
294,19,2022,1,San Luis,5.94,20.76,20221,2022Q1,-8.049535603715164,-12.6470588235294,-8.060230292294058,-12.663020614219601
270,19,2022,2,San Luis,5.0,17.46,20222,2022Q2,-15.82491582491583,-26.253687315634224,-15.895953757225435,-26.298016040523432
246,19,2022,3,San Luis,4.98,17.41,20223,2022Q3,-0.39999999999998925,-26.33136094674555,-0.286368843069873,-26.291278577476717
222,19,2022,4,San Luis,5.42,18.95,20224,2022Q4,8.835341365461847,-16.099071207430338,8.845491097070646,-16.076173604960143
198,19,2023,1,San Luis,5.73,20.01,20231,2023Q1,5.719557195571956,-3.535353535353536,5.593667546174164,-3.6127167630057855
174,19,2023,2,San Luis,5.18,18.09,20232,2023Q2,-9.598603839441544,3.600000000000003,-9.595202398800605,3.6082474226803996
150,19,2023,3,San Luis,5.16,18.04,20233,2023Q3,-0.3861003861003742,3.6144578313253017,-0.2763957987838572,3.618609994256161
126,19,2023,4,San Luis,5.46,19.09,20234,2023Q4,5.813953488372081,0.7380073800737907,5.820399113082053,0.7387862796833788
102,19,2024,1,San Luis,5.46,20.27,20241,2024Q1,0.0,-4.712041884816765,6.181246726034573,1.299350324837567
78,19,2024,2,San Luis,5.44,20.2,20242,2024Q2,-0.3663003663003539,5.0193050193050315,-0.3453379378391741,11.66390270867883
54,19,2024,3,San Luis,5.43,20.14,20243,2024Q3,-0.18382352941177516,5.232558139534871,-0.2970297029702862,11.640798226164083
30,19,2024,4,San Luis,4.95,18.38,20244,2024Q4,-8.83977900552485,-9.340659340659341,-8.738828202581939,-3.7192247249869137
6,19,2025,1,San Luis,5.18,19.25,20251,2025Q1,4.646464646464632,-5.128205128205132,4.733405875952124,-5.032067094227921
1061,20,2014,1,Santa Cruz,13.17,44.25,20141,2014Q1,,,,
1037,20,2014,2,Santa Cruz,13.11,44.04,20142,2014Q2,-0.4555808656036442,,-0.4745762711864443,
1013,20,2014,3,Santa Cruz,13.11,44.03,20143,2014Q3,0.0,,-0.02270663033605569,
989,20,2014,4,Santa Cruz,13.17,44.26,20144,2014Q4,0.4576659038901587,,0.5223711106064011,
965,20,2015,1,Santa Cruz,18.17,61.05,20151,2015Q1,37.965072133637065,37.965072133637065,37.93492995933123,37.96610169491525
941,20,2015,2,Santa Cruz,18.42,61.89,20152,2015Q2,1.3758943313153527,40.50343249427919,1.375921375921374,40.53133514986376
917,20,2015,3,Santa Cruz,18.64,62.62,20153,2015Q3,1.1943539630836053,42.181540808543105,1.1795120374858525,42.22121280944808
893,20,2015,4,Santa Cruz,16.32,54.85,20154,2015Q4,-12.446351931330469,23.917995444191355,-12.408176301501117,23.926796204247648
869,20,2016,1,Santa Cruz,14.47,48.61,20161,2016Q1,-11.335784313725483,-20.36323610346725,-11.376481312670927,-20.376740376740376
845,20,2016,2,Santa Cruz,13.46,45.23,20162,2016Q2,-6.979958534899788,-26.92725298588491,-6.953301789755195,-26.91872677330749
821,20,2016,3,Santa Cruz,13.51,45.4,20163,2016Q3,0.3714710252600284,-27.521459227467815,0.3758567322573514,-27.499201533056528
797,20,2016,4,Santa Cruz,14.17,47.62,20164,2016Q4,4.885270170244271,-13.174019607843135,4.889867841409679,-13.181403828623528
773,20,2017,1,Santa Cruz,14.47,48.61,20171,2017Q1,2.117148906139743,0.0,2.078958420831589,0.0
749,20,2017,2,Santa Cruz,13.46,45.23,20172,2017Q2,-6.979958534899788,0.0,-6.953301789755195,0.0
725,20,2017,3,Santa Cruz,13.51,45.4,20173,2017Q3,0.3714710252600284,0.0,0.3758567322573514,0.0
701,20,2017,4,Santa Cruz,14.17,47.62,20174,2017Q4,4.885270170244271,0.0,4.889867841409679,0.0
677,20,2018,1,Santa Cruz,12.83,43.11,20181,2018Q1,-9.456598447424136,-11.333794056668978,-9.470810583788325,-11.314544332441889
653,20,2018,2,Santa Cruz,12.76,42.88,20182,2018Q2,-0.5455962587685104,-5.20059435364042,-0.5335189051264178,-5.195666592969261
629,20,2018,3,Santa Cruz,12.66,42.55,20183,2018Q3,-0.7836990595611271,-6.291635825314579,-0.7695895522388141,-6.277533039647576
605,20,2018,4,Santa Cruz,12.6,42.35,20184,2018Q4,-0.4739336492891044,-11.07974594213127,-0.4700352526439411,-11.066778664426701
581,20,2019,1,Santa Cruz,9.66,32.47,20191,2019Q1,-23.33333333333333,-24.707716289945438,-23.329397874852432,-24.681048480630942
557,20,2019,2,Santa Cruz,9.27,31.14,20192,2019Q2,-4.037267080745344,-27.351097178683393,-4.096088697259004,-27.37873134328358
533,20,2019,3,Santa Cruz,8.94,30.05,20193,2019Q3,-3.5598705501618144,-29.383886255924175,-3.500321130378936,-29.37720329024677
509,20,2019,4,Santa Cruz,8.44,28.36,20194,2019Q4,-5.592841163310958,-33.01587301587302,-5.623960066555744,-33.03423848878395
485,20,2020,1,Santa Cruz,8.1,27.21,20201,2020Q1,-4.028436018957349,-16.149068322981375,-4.055007052186177,-16.19956883276871
461,20,2020,2,Santa Cruz,7.72,25.93,20202,2020Q2,-4.691358024691361,-16.720604099244873,-4.704152884968771,-16.73089274245344
437,20,2020,3,Santa Cruz,7.43,24.97,20203,2020Q3,-3.756476683937826,-16.890380313199106,-3.7022753567296562,-16.90515806988353
413,20,2020,4,Santa Cruz,7.37,24.78,20204,2020Q4,-0.8075370121130465,-12.677725118483407,-0.7609130957148436,-12.623413258110006
389,20,2021,1,Santa Cruz,7.43,24.95,20211,2021Q1,0.8141112618724522,-8.271604938271604,0.6860371267150889,-8.305769937522978
365,20,2021,2,Santa Cruz,7.39,24.84,20212,2021Q2,-0.538358008075368,-4.274611398963735,-0.44088176352705677,-4.203625144620126
