117;Santa Fe;Santa Fe;2015-T1;2015;1;535640;7970;536437;50.24;15.83;328809;199037;2845;4239;1507;536437;6883;93096;360964;45270;27597;1542;900;0;536252;4.06
118;Santiago Del Estero;Santiago Del Estero;2015-T1;2015;1;39244;80;39252;17.06;4.24;33813;4365;19;1020;35;39252;701;9236;23136;4796;748;0;0;0;38617;3.57
119;Tierra Del Fuego;Tierra Del Fuego;2015-T1;2015;1;32726;7300;33456;74.23;22.17;22291;7924;657;1;2583;33456;14;609;36319;2;0;0;0;0;36944;3.45
120;Tucumán;Tucumán;2015-T1;2015;1;138184;920;138276;35.08;8.72;137857;115;116;88;100;138276;107;27143;83895;23061;3722;334;0;0;138262;4.07
121;Buenos Aires;Buenos Aires;2015-T2;2015;2;2871079;12711;2883790;56.80;17.33;1581770;1141052;115660;19268;26040;2883790;8714;137189;2299705;243503;159922;2010;6712;0;2857754;4.46
122;CABA;CABA;2015-T2;2015;2;1336391;9893;1346284;116.07;44.08;453178;858342;19786;2172;12806;1346284;2493;51799;990112;148569;142976;1482;9258;0;1346690;5.31
123;Catamarca;Catamarca;2015-T2;2015;2;25666;130;25679;25.45;6.48;25387;242;15;1;34;25679;15;7253;14003;3776;593;37;1;0;25678;3.68
124;Chaco;Chaco;2015-T2;2015;2;83832;160;83848;27.46;7.34;55767;27809;179;52;41;83848;288;11058;47551;17675;6337;788;149;0;83846;5.19
125;Chubut;Chubut;2015-T2;2015;2;61745;174;63485;36.58;11.22;43949;762;916;13055;4803;63485;656;6032;55791;168;0;0;0;0;62647;3.22
126;Córdoba;Córdoba;2015-T2;2015;2;609510;2360;609746;55.87;17.11;348130;255596;435;5199;386;609746;156;72695;434717;54993;46415;1956;903;0;611835;4.56
127;Corrientes;Corrientes;2015-T2;2015;2;83288;280;83316;29.58;7.79;55238;26553;157;1321;47;83316;34;12542;48015;17184;5039;379;126;0;83319;4.85
128;Entre Ríos;Entre Ríos;2015-T2;2015;2;169309;1830;169492;42.93;12.84;113378;49767;119;6031;197;169492;2864;21986;104043;32293;7867;354;136;0;169543;4.55
129;Formosa;Formosa;2015-T2;2015;2;27013;370;27050;18.36;4.67;21097;5164;2;737;50;27050;1881;6907;14247;2436;1324;257;1;0;27053;3.76
130;Jujuy;Jujuy;2015-T2;2015;2;37720;20;37722;20.29;5.19;32183;5482;22;0;35;37722;2479;9474;20248;4792;730;0;0;0;37723;3.41
131;La Pampa;La Pampa;2015-T2;2015;2;63552;5000;64052;56.71;18.69;12756;40825;3719;6190;562;64052;5737;8182;46235;27;24;25;10;0;60240;2.86
132;La Rioja;La Rioja;2015-T2;2015;2;16491;180;16509;16.88;4.49;16463;0;16;2;28;16509;10;4082;9093;2680;641;0;3;0;16509;4.00
133;Mendoza;Mendoza;2015-T2;2015;2;169259;1564;170823;32.49;9.07;153301;13030;2572;38;1882;170823;268;26;170451;42;16;5;13;0;170821;3.50
134;Misiones;Misiones;2015-T2;2015;2;88512;70;88519;27.35;7.45;59179;29283;37;5;15;88519;958;10360;51671;15022;10072;408;33;0;88524;5.33
135;Neuquén;Neuquén;2015-T2;2015;2;95644;2241;97885;53.12;15.81;47078;34183;1044;12781;2799;97885;1755;2348;82727;214;5168;2;110;0;92324;4.06
136;Río Negro;Río Negro;2015-T2;2015;2;97640;1087;98727;45.98;14.14;66738;26268;916;3457;1348;98727;3413;4525;87362;97;3240;1;51;0;98689;3.67
137;Salta;Salta;2015-T2;2015;2;98264;30;98267;30.46;7.38;77214;20297;47;129;580;98267;1123;13020;64737;16241;3114;29;5;0;98269;4.22
138;San Juan;San Juan;2015-T2;2015;2;51367;6210;51988;27.64;7.04;48670;451;770;1189;908;51988;8;410;51568;0;0;0;2;0;51988;3.48
139;San Luis;San Luis;2015-T2;2015;2;12904;3170;13221;9.71;2.78;11432;1025;354;33;377;13221;9;4;13204;0;0;1;2;0;13220;3.50
140;Santa Cruz;Santa Cruz;2015-T2;2015;2;25384;3790;25763;27.07;8.06;15343;2707;396;4917;2400;25763;210;25;25519;2;0;0;0;0;25756;3.47
141;Santa Fe;Santa Fe;2015-T2;2015;2;545739;6490;546388;51.18;16.09;333117;204685;2877;4320;1389;546388;6827;86016;364441;53205;33894;1856;1014;0;547253;4.30
142;Santiago Del Estero;Santiago Del Estero;2015-T2;2015;2;39375;30;39378;17.11;4.25;33873;4365;19;1091;30;39378;703;8779;23456;5553;888;0;0;0;39379;3.73
143;Tierra Del Fuego;Tierra Del Fuego;2015-T2;2015;2;32960;6190;33579;74.51;22.10;22636;7927;665;1;2350;33579;15;285;36073;2;0;0;0;0;36375;3.48
144;Tucumán;Tucumán;2015-T2;2015;2;140635;420;140677;35.69;8.84;139944;479;116;88;50;140677;107;25178;83462;26966;4502;455;0;0;140670;4.31
145;Buenos Aires;Buenos Aires;2015-T3;2015;3;2916070;12695;2928765;57.69;17.55;1585467;1183894;113590;19989;25825;2928765;8361;107351;2266948;262564;200491;2642;7720;0;2856078;4.70
146;CABA;CABA;2015-T3;2015;3;1362193;9875;1372068;118.29;44.91;454815;871262;30974;2229;12788;1372068;2448;49340;942525;159618;175594;2028;10022;0;1341574;5.66
147;Catamarca;Catamarca;2015-T3;2015;3;26080;130;26093;25.86;6.56;25801;242;15;1;34;26093;15;6871;14206;4143;812;43;1;0;26091;3.88
148;Chaco;Chaco;2015-T3;2015;3;85354;160;85370;27.96;7.45;56282;28809;186;52;41;85370;240;10353;47131;19016;7498;979;157;0;85374;5.47
149;Chubut;Chubut;2015-T3;2015;3;62143;174;63883;36.81;11.23;43964;792;916;13408;4803;63883;641;5886;71668;167;0;0;0;0;78362;3.28
150;Córdoba;Córdoba;2015-T3;2015;3;622761;2370;622998;57.08;17.43;351692;264055;1450;5412;389;622998;150;68765;429787;61109;59372;2582;1048;0;622813;4.87
151;Corrientes;Corrientes;2015-T3;2015;3;84931;280;84959;30.17;7.93;55792;27604;176;1340;47;84959;33;11921;48127;18168;6111;453;146;0;84959;5.06
152;Entre Ríos;Entre Ríos;2015-T3;2015;3;172252;1820;172434;43.68;13.03;113909;51945;122;6261;197;172434;2863;20385;103990;34788;9924;384;153;0;172487;4.77
153;Formosa;Formosa;2015-T3;2015;3;27751;10;27752;18.84;4.78;21573;5264;2;899;14;27752;1862;6521;14354;2791;1842;379;2;0;27751;4.17
154;Jujuy;Jujuy;2015-T3;2015;3;39548;20;39550;21.27;5.42;32598;6895;22;0;35;39550;2549;9278;21588;5169;966;0;0;0;39550;3.53
155;La Pampa;La Pampa;2015-T3;2015;3;64976;4950;65471;57.96;19.06;12755;41886;4078;6195;557;65471;613;13087;47660;9;55;39;10;0;61473;2.91
156;La Rioja;La Rioja;2015-T3;2015;3;16753;180;16771;17.15;4.55;16725;0;16;2;28;16771;10;3840;9102;2984;832;0;3;0;16771;4.25
157;Mendoza;Mendoza;2015-T3;2015;3;169261;1562;170823;32.49;9.04;153299;13030;2572;42;1880;170823;256;25;173430;45;18;5;13;0;173792;3.50
158;Misiones;Misiones;2015-T3;2015;3;91615;70;91622;28.31;7.69;59921;31635;46;5;15;91622;958;9809;51234;17367;11654;559;43;0;91624;5.63
159;Neuquén;Neuquén;2015-T3;2015;3;98376;224;100616;54.60;16.20;47102;36620;1045;13051;2798;100616;1733;2124;85044;210;6599;2;155;0;95867;4.23
160;Río Negro;Río Negro;2015-T3;2015;3;98529;1085;99614;46.39;14.22;66806;27130;917;3415;1346;99614;3372;4457;88691;99;3826;1;62;0;100508;3.74
161;Salta;Salta;2015-T3;2015;3;100570;30;100573;31.18;7.53;78064;21688;47;129;645;100573;1126;12223;65405;17451;4318;61;5;0;100589;4.42
162;San Juan;San Juan;2015-T3;2015;3;51409;6210;52030;27.67;7.03;48670;451;770;1231;908;52030;9;391;54963;0;0;0;2;0;55365;3.48
163;San Luis;San Luis;2015-T3;2015;3;12902;3170;13219;9.71;2.77;11432;1025;354;31;377;13219;9;4;13286;0;0;1;2;0;13302;3.50
164;Santa Cruz;Santa Cruz;2015-T3;2015;3;25912;3590;26271;27.61;8.16;15540;2718;396;5226;2391;26271;190;25;32266;2;0;0;0;0;32483;3.48
165;Santa Fe;Santa Fe;2015-T3;2015;3;556097;6410;556738;52.15;16.36;337042;209673;4169;4426;1428;556738;6767;80817;363177;59531;42021;2320;1133;0;555766;4.56
