Año,Trimestre,Provincia,Banda Ancha Fija,Dial Up,Total,Periodo
2021,2,Chaco,140726,30,140729,2021-T2
2021,2,Chubut,138412,8250,139237,2021-T2
2021,2,Córdoba,930818,620,930880,2021-T2
2021,2,Corrientes,129498,30,129501,2021-T2
2021,2,Entre Ríos,257617,150,257632,2021-T2
2021,2,Formosa,51551,0,51551,2021-T2
2021,2,Jujuy,111848,0,111848,2021-T2
2021,2,La Pampa,97551,1160,97667,2021-T2
2021,2,La Rioja,81599,30,81602,2021-T2
2021,2,Mendoza,229052,6190,229671,2021-T2
2021,2,Misiones,156176,0,156176,2021-T2
2021,2,Neuquén,137877,3730,138250,2021-T2
2021,2,Río Negro,143583,5010,144084,2021-T2
2021,2,Salta,191637,20,191639,2021-T2
2021,2,San Juan,78677,2560,78933,2021-T2
2021,2,San Luis,122670,1480,122818,2021-T2
2021,2,Santa Cruz,48785,1970,48982,2021-T2
2021,2,Santa Fe,840449,1510,840600,2021-T2
2021,2,Santiago Del Estero,114089,10,114090,2021-T2
2021,2,Tierra Del Fuego,35404,2890,35693,2021-T2
2021,2,Tucumán,233026,250,233051,2021-T2
2021,1,Buenos Aires,4054936,5066,4060002,2021-T1
2021,1,CABA,1378283,139,1379673,2021-T1
2021,1,Catamarca,51967,10,51968,2021-T1
2021,1,Chaco,139767,30,139770,2021-T1
2021,1,Chubut,131515,8250,132340,2021-T1
2021,1,Córdoba,910826,550,910881,2021-T1
2021,1,Corrientes,126622,30,126625,2021-T1
2021,1,Entre Ríos,251950,130,251963,2021-T1
2021,1,Formosa,50686,0,50686,2021-T1
2021,1,Jujuy,110456,0,110456,2021-T1
2021,1,La Pampa,96989,1160,97105,2021-T1
2021,1,La Rioja,52625,30,52628,2021-T1
2021,1,Mendoza,218308,6150,218923,2021-T1
2021,1,Misiones,149387,0,149387,2021-T1
2021,1,Neuquén,132862,3730,133235,2021-T1
2021,1,Río Negro,140667,5010,141168,2021-T1
2021,1,Salta,187572,20,187574,2021-T1
2021,1,San Juan,78011,2560,78267,2021-T1
2021,1,San Luis,119006,1480,119154,2021-T1
2021,1,Santa Cruz,45868,1970,46065,2021-T1
2021,1,Santa Fe,825990,1370,826127,2021-T1
2021,1,Santiago Del Estero,111640,10,111641,2021-T1
2021,1,Tierra Del Fuego,40133,2890,40422,2021-T1
2021,1,Tucumán,231890,220,231912,2021-T1
2020,4,Buenos Aires,4028195,5066,4033261,2020-T4
2020,4,CABA,1378140,139,1379530,2020-T4
2020,4,Catamarca,52395,10,52396,2020-T4
2020,4,Chaco,139088,30,139091,2020-T4
2020,4,Chubut,129749,8250,130574,2020-T4
2020,4,Córdoba,902646,550,902701,2020-T4
2020,4,Corrientes,125656,30,125659,2020-T4
2020,4,Entre Ríos,247368,130,247381,2020-T4
2020,4,Formosa,50206,0,50206,2020-T4
2020,4,Jujuy,105851,0,105851,2020-T4
2020,4,La Pampa,96779,1160,96895,2020-T4
2020,4,La Rioja,52775,30,52778,2020-T4
2020,4,Mendoza,214838,6150,215453,2020-T4
2020,4,Misiones,147161,0,147161,2020-T4
2020,4,Neuquén,132762,3730,133135,2020-T4
2020,4,Río Negro,140709,5010,141210,2020-T4
2020,4,Salta,187388,20,187390,2020-T4
2020,4,San Juan,72340,2560,72596,2020-T4
2020,4,San Luis,119287,1480,119435,2020-T4
2020,4,Santa Cruz,40477,1970,40674,2020-T4
2020,4,Santa Fe,820676,1370,820813,2020-T4
2020,4,Santiago Del Estero,106668,10,106669,2020-T4
2020,4,Tierra Del Fuego,39325,2890,39614,2020-T4
2020,4,Tucumán,231067,220,231089,2020-T4
2020,3,Buenos Aires,3932211,5066,3937277,2020-T3
2020,3,CABA,1371285,139,1372675,2020-T3
2020,3,Catamarca,49903,10,49904,2020-T3
2020,3,Chaco,133951,30,133954,2020-T3
2020,3,Chubut,129202,8250,130027,2020-T3
2020,3,Córdoba,867417,550,867472,2020-T3
2020,3,Corrientes,123388,30,123391,2020-T3
2020,3,Entre Ríos,241482,130,241495,2020-T3
2020,3,Formosa,49209,0,49209,2020-T3
2020,3,Jujuy,106728,0,106728,2020-T3
2020,3,La Pampa,93619,1160,93735,2020-T3
2020,3,La Rioja,52613,30,52616,2020-T3
2020,3,Mendoza,207173,6150,207788,2020-T3
2020,3,Misiones,143186,0,143186,2020-T3
2020,3,Neuquén,128862,3730,129235,2020-T3
2020,3,Río Negro,130966,5010,131467,2020-T3
2020,3,Salta,180844,20,180846,2020-T3
2020,3,San Juan,77071,2560,77327,2020-T3
2020,3,San Luis,116417,1480,116565,2020-T3
2020,3,Santa Cruz,39084,1970,39281,2020-T3
2020,3,Santa Fe,802861,1370,802998,2020-T3
2020,3,Santiago Del Estero,105491,10,105492,2020-T3
2020,3,Tierra Del Fuego,39366,2890,39655,2020-T3
2020,3,Tucumán,223854,220,223876,2020-T3
2020,2,Buenos Aires,3772480,5066,3777546,2020-T2
2020,2,CABA,1356431,139,1357821,2020-T2
2020,2,Catamarca,47975,10,47976,2020-T2
2020,2,Chaco,128129,30,128132,2020-T2
2020,2,Chubut,107831,8250,108656,2020-T2
2020,2,Córdoba,836413,550,836468,2020-T2
2020,2,Corrientes,118863,30,118866,2020-T2
2020,2,Entre Ríos,234100,130,234113,2020-T2
2020,2,Formosa,47932,0,47932,2020-T2
2020,2,Jujuy,94316,0,94316,2020-T2
2020,2,La Pampa,89693,1160,89809,2020-T2
2020,2,La Rioja,52152,30,52155,2020-T2
2020,2,Mendoza,200569,6150,201184,2020-T2
2020,2,Misiones,140340,0,140340,2020-T2
2020,2,Neuquén,125799,3730,126172,2020-T2
2020,2,Río Negro,128985,5010,129486,2020-T2
2020,2,Salta,177760,20,177762,2020-T2
2020,2,San Juan,69521,2560,69777,2020-T2
2020,2,San Luis,113804,1480,113952,2020-T2
2020,2,Santa Cruz,38672,1970,38869,2020-T2
2020,2,Santa Fe,777795,1370,777932,2020-T2
2020,2,Santiago Del Estero,105446,10,105447,2020-T2
2020,2,Tierra Del Fuego,38900,2890,39189,2020-T2
2020,2,Tucumán,217134,220,217156,2020-T2
2020,1,Buenos Aires,3702985,5066,3708051,2020-T1
2020,1,CABA,1352104,139,1353494,2020-T1
2020,1,Catamarca,39634,10,39635,2020-T1
2020,1,Chaco,120274,30,120277,2020-T1
2020,1,Chubut,95938,8000,96738,2020-T1
2020,1,Córdoba,811044,550,811099,2020-T1
2020,1,Corrientes,113967,30,113970,2020-T1
2020,1,Entre Ríos,231833,130,231846,2020-T1
2020,1,Formosa,46434,0,46434,2020-T1
2020,1,Jujuy,91665,0,91665,2020-T1
2020,1,La Pampa,89110,1160,89226,2020-T1
2020,1,La Rioja,48337,30,48340,2020-T1
2020,1,Mendoza,182837,6150,183452,2020-T1
2020,1,Misiones,133552,0,133552,2020-T1
2020,1,Neuquén,121354,3730,121727,2020-T1
2020,1,Río Negro,125699,5010,126200,2020-T1
2020,1,Salta,170379,20,170381,2020-T1
2020,1,San Juan,63975,2560,64231,2020-T1
2020,1,San Luis,110404,1480,110552,2020-T1
2020,1,Santa Cruz,38625,1970,38822,2020-T1
2020,1,Santa Fe,770981,1370,771118,2020-T1
2020,1,Santiago Del Estero,102754,10,102755,2020-T1
2020,1,Tierra Del Fuego,38505,2890,38794,2020-T1
