"Año","Trimestre","Provincias","Accesos cada 100 Hogares","Accesos cada 100 Habitantes"
"2019","3","Santa Cruz","35,63","10,60"
"2019","3","Santa Fe","68,87","21,66"
"2019","3","Santiago Del Estero","55,30","13,73"
"2019","3","Tierra Del Fuego","96,46","28,60"
"2019","3","Tucumán","39,49","9,78"
"2019","2","Buenos Aires","67,85","22,22"
"2019","2","CABA","110,55","46,09"
"2019","2","Catamarca","32,13","8,17"
"2019","2","Chaco","34,14","9,13"
"2019","2","Chubut","46,99","14,40"
"2019","2","Córdoba","68,07","20,84"
"2019","2","Corrientes","38,16","10,05"
"2019","2","Entre Ríos","57,48","17,19"
"2019","2","Formosa","30,42","7,74"
"2019","2","Jujuy","44,51","11,38"
"2019","2","La Pampa","77,08","25,40"
"2019","2","La Rioja","48,70","12,97"
"2019","2","Mendoza","40,75","11,37"
"2019","2","Misiones","39,15","10,66"
"2019","2","Neuquén","63,08","18,78"
"2019","2","Río Negro","61,09","18,79"
"2019","2","Salta","41,89","10,15"
"2019","2","San Juan","35,60","9,07"
"2019","2","San Luis","81,79","23,41"
"2019","2","Santa Cruz","28,85","8,58"
"2019","2","Santa Fe","67,42","21,20"
"2019","2","Santiago Del Estero","52,79","13,10"
"2019","2","Tierra Del Fuego","94,80","28,11"
"2019","2","Tucumán","40,14","9,94"
"2019","1","Buenos Aires","66,24","21,64"
"2019","1","CABA","109,20","45,58"
"2019","1","Catamarca","32,19","8,19"
"2019","1","Chaco","32,64","8,72"
"2019","1","Chubut","43,00","13,18"
"2019","1","Córdoba","65,52","20,06"
"2019","1","Corrientes","35,13","9,25"
"2019","1","Entre Ríos","56,79","16,98"
"2019","1","Formosa","29,68","7,55"
"2019","1","Jujuy","46,41","11,87"
"2019","1","La Pampa","76,35","25,16"
"2019","1","La Rioja","50,18","13,36"
"2019","1","Mendoza","37,66","10,51"
"2019","1","Misiones","36,26","9,88"
"2019","1","Neuquén","58,88","17,53"
"2019","1","Río Negro","53,57","16,48"
"2019","1","Salta","40,10","9,71"
"2019","1","San Juan","31,83","8,11"
"2019","1","San Luis","67,34","19,27"
"2019","1","Santa Cruz","23,67","7,04"
"2019","1","Santa Fe","66,97","21,06"
"2019","1","Santiago Del Estero","37,52","9,31"
"2019","1","Tierra Del Fuego","93,38","27,68"
"2019","1","Tucumán","41,63","10,31"
"2018","4","Buenos Aires","64,60","21,06"
"2018","4","CABA","108,27","45,25"
"2018","4","Catamarca","32,23","8,20"
"2018","4","Chaco","32,59","8,71"
"2018","4","Chubut","42,61","13,06"
"2018","4","Córdoba","65,09","19,93"
"2018","4","Corrientes","34,57","9,10"
"2018","4","Entre Ríos","54,37","16,26"
"2018","4","Formosa","29,74","7,57"
"2018","4","Jujuy","46,53","11,90"
"2018","4","La Pampa","73,49","24,22"
"2018","4","La Rioja","50,35","13,40"
"2018","4","Mendoza","37,76","10,54"
"2018","4","Misiones","34,45","9,38"
"2018","4","Neuquén","59,07","17,58"
"2018","4","Río Negro","51,86","15,95"
"2018","4","Salta","39,80","9,64"
"2018","4","San Juan","31,90","8,13"
"2018","4","San Luis","67,55","19,33"
"2018","4","Santa Cruz","23,69","7,05"
"2018","4","Santa Fe","65,59","20,62"
"2018","4","Santiago Del Estero","37,40","9,28"
"2018","4","Tierra Del Fuego","93,59","27,75"
"2018","4","Tucumán","41,76","10,34"
"2018","3","Buenos Aires","64,44","20,96"
"2018","3","CABA","108,45","45,38"
"2018","3","Catamarca","32,92","8,37"
"2018","3","Chaco","32,28","8,63"
"2018","3","Chubut","56,39","17,29"
"2018","3","Córdoba","64,24","19,67"
"2018","3","Corrientes","34,25","9,02"
"2018","3","Entre Ríos","50,22","15,02"
"2018","3","Formosa","29,58","7,53"
"2018","3","Jujuy","23,26","5,95"
"2018","3","La Pampa","71,75","23,64"
"2018","3","La Rioja","50,73","13,51"
"2018","3","Mendoza","37,99","10,60"
"2018","3","Misiones","32,10","8,74"
"2018","3","Neuquén","60,49","18,01"
"2018","3","Río Negro","50,54","15,55"
"2018","3","Salta","39,43","9,55"
"2018","3","San Juan","33,05","8,42"
"2018","3","San Luis","52,35","14,98"
"2018","3","Santa Cruz","32,73","9,74"
"2018","3","Santa Fe","63,41","19,94"
"2018","3","Santiago Del Estero","36,25","9,00"
"2018","3","Tierra Del Fuego","92,77","27,51"
"2018","3","Tucumán","41,68","10,33"
