ID_Acceso_UT;ID_Localidad;ID_Tecnologia;Accesos
679;6182050;FIBRA OPTICA;165
680;6182050;SATELITAL;3
681;6189010;SATELITAL;8
682;6189020;SATELITAL;16
683;6189030;ADSL;156
684;6189030;CABLEMODEM;1506
685;6189030;DIAL UP;2
686;6189030;FIBRA OPTICA;10
687;6189030;SATELITAL;53
688;6189030;WIRELESS;32
689;6189040;FIBRA OPTICA;32
690;6189040;SATELITAL;25
691;6189040;WIRELESS;5
692;6189050;SATELITAL;10
693;6189060;SATELITAL;11
694;6189070;FIBRA OPTICA;922
695;6189070;SATELITAL;6
696;6189070;WIRELESS;48
697;6189075;SATELITAL;2
698;6189080;SATELITAL;11
699;6196010;ADSL;278
700;6196010;CABLEMODEM;2056
701;6196010;DIAL UP;3
702;6196010;FIBRA OPTICA;766
703;6196010;SATELITAL;50
704;6196010;WIRELESS;366
705;6196020;SATELITAL;9
706;6196030;SATELITAL;15
707;6196040;DIAL UP;1
708;6196040;FIBRA OPTICA;24
709;6196040;SATELITAL;7
710;6196040;WIRELESS;3
711;6196050;SATELITAL;8
712;6203010;SATELITAL;3
713;6203020;ADSL;502
714;6203020;CABLEMODEM;3309
715;6203020;DIAL UP;79
716;6203020;FIBRA OPTICA;1688
717;6203020;SATELITAL;134
718;6203020;WIRELESS;785
719;6203030;SATELITAL;7
720;6203040;SATELITAL;31
721;6203050;DIAL UP;1
722;6203050;FIBRA OPTICA;1743
723;6203050;SATELITAL;23
724;6203050;WIRELESS;518
725;6203060;SATELITAL;7
726;6203060;WIRELESS;84
727;6203070;CABLEMODEM;70
728;6203070;FIBRA OPTICA;795
729;6203070;SATELITAL;7
730;6203080;CABLEMODEM;38
731;6203080;FIBRA OPTICA;515
732;6203080;SATELITAL;18
733;6203090;CABLEMODEM;82
734;6203090;FIBRA OPTICA;648
735;6203090;SATELITAL;15
736;6203100;CABLEMODEM;104
737;6203100;FIBRA OPTICA;127
738;6203100;SATELITAL;15
739;6231010;SATELITAL;24
740;6231020;SATELITAL;6
741;6231030;ADSL;155
742;6231030;Otros;220
743;6231030;SATELITAL;123
744;6231030;WIRELESS;994
745;6231040;SATELITAL;6
746;6231030;SATELITAL;3
747;6231060;FIBRA OPTICA;1
748;6231060;SATELITAL;23
749;6231060;WIRELESS;79
750;6238010;ADSL;106
751;6238010;CABLEMODEM;11106
752;6238010;DIAL UP;1
753;6238010;FIBRA OPTICA;3225
754;6238010;SATELITAL;75
755;6238010;WIMAX;325
756;6238020;SATELITAL;3
757;6238020;WIRELESS;1
758;6245010;CABLEMODEM;297
759;6245010;SATELITAL;3
760;6245010;ADSL;310
761;6245010;CABLEMODEM;10460
762;6245010;DIAL UP;14
763;6245010;FIBRA OPTICA;2919
764;6245010;Otros;176
765;6245010;SATELITAL;23
766;6245010;WIRELESS;2092
767;6245010;SATELITAL;7
768;6245010;CABLEMODEM;1181
769;6245010;Otros;4
770;6245010;SATELITAL;12
771;6245010;SATELITAL;1
772;6245010;WIRELESS;7
773;6252010;ADSL;876
774;6252010;CABLEMODEM;16410
775;6252010;DIAL UP;21
776;6252010;FIBRA OPTICA;14164
777;6252010;Otros;386
778;6252010;SATELITAL;362
779;6252010;WIRELESS;99
780;6252010;CABLEMODEM;937
781;6252010;FIBRA OPTICA;3216
782;6252010;SATELITAL;41
783;6252010;ADSL;3555
784;6252010;CABLEMODEM;9887
785;6252010;DIAL UP;3
786;6252010;FIBRA OPTICA;5691
787;6252010;Otros;6
788;6252010;SATELITAL;63
789;6252010;WIRELESS;11
790;6252010;ADSL;172
791;6252010;CABLEMODEM;4111
792;6252010;DIAL UP;3
793;6252010;FIBRA OPTICA;4997
794;6252010;Otros;6
795;6252010;SATELITAL;258
796;6252010;WIRELESS;300
797;6252010;FIBRA OPTICA;1479
798;6252010;SATELITAL;128
799;6252010;ADSL;121
800;6252010;CABLEMODEM;5211
801;6252010;FIBRA OPTICA;224
802;6252010;SATELITAL;52
803;6252010;WIRELESS;14
804;6252010;ADSL;544
805;6252010;CABLEMODEM;2610
806;6252010;DIAL UP;2
807;6252010;FIBRA OPTICA;77
808;6252010;SATELITAL;53
809;6252010;WIRELESS;58
810;6252010;SATELITAL;36
811;6260010;ADSL;9
812;6260010;CABLEMODEM;6681
813;6260010;DIAL UP;6
814;6260010;FIBRA OPTICA;622
815;6260010;Otros;7
